Rk,Player,Pos,Tm,Cap Hit
93,Andre Branch\BranAn00,DE,MIA,"$7,900,000 "
94,Jonotthan Harrison\HarrJo03,C,NYJ,"$7,900,000 "
95,Kiko Alonso\AlonKi00,ILB,MIA,"$7,875,000 "
96,Damon Harrison\HarrDa03,DT,NYG,"$7,750,000 "
97,Ronald Leary\LearRo00,G,DEN,"$7,650,000 "
98,Harrison Smith\SmitHa00,FS,MIN,"$7,650,000 "
99,Keenan Allen\AlleKe00,WR,LAC,"$7,500,000 "
100,Devin McCourty\McCoDe99,DB,NWE,"$7,500,000 "
101,Chris Harris\HarrCh01,CB,DEN,"$7,400,000 "
102,Derek Carr\CarrDe02,QB,OAK,"$7,400,000 "
103,Brian Orakpo\OrakBr99,LB,TEN,"$7,250,000 "
104,Khalil Mack\MackKh00,OLB,CHI,"$7,000,000 "
105,Jabaal Sheard\SheaJa00,DL,IND,"$7,000,000 "
106,Marvin Jones\JoneMa02,WR,DET,"$7,000,000 "
107,Golden Tate\TateGo00,WR,DET,"$7,000,000 "
108,Sean Lee\LeexSe99,LB,DAL,"$7,000,000 "
109,Brian Winters\WintBr00,OG,NYJ,"$7,000,000 "
110,Maurkice Pouncey\PounMa20,C,PIT,"$7,000,000 "
111,Brandon Graham\GrahBr99,DE,PHI,"$7,000,000 "
112,Marshal Yanda\YandMa20,T,BAL,"$7,000,000 "
113,Jimmy Smith\SmitJi03,CB,BAL,"$6,882,353 "
114,Travis Kelce\KelcTr00,TE,KAN,"$6,800,000 "
115,Jason Peters\PeteJa21,T,PHI,"$6,750,000 "
116,Pierre Garcon\GarcPi00,WR,SFO,"$6,625,000 "
117,Mike Daniels\DaniMi00,DT,GNB,"$6,600,000 "
118,Jordan Jenkins\JenkJo01,OLB,NYJ,"$6,500,000 "
119,Derrick Morgan\MorgDe99,DE,TEN,"$6,500,000 "
120,Jared Veldheer\VeldJa20,T,DEN,"$6,500,000 "
121,Eric Weddle\WeddEr99,DB,BAL,"$6,500,000 "
122,William Gholston\GholWi00,DE,TAM,"$6,500,000 "
123,Kareem Jackson\JackKa99,DB,HOU,"$6,500,000 "
124,Mark Barron\BarrMa00,LB,LAR,"$6,499,999 "
125,Janoris Jenkins\JenkJa03,CB,NYG,"$6,400,000 "
126,Jerry Hughes\HughJe99,DE,BUF,"$6,350,000 "
127,Alvin Kamara\KamaAl00,RB,NOR,"$6,350,000 "
128,Duane Brown\BrowDu20,G,SEA,"$6,250,000 "
129,Mario Addison\AddiMa00,DE,CAR,"$6,250,000 "
130,Jimmy Garoppolo\GaroJi00,QB,SFO,"$6,200,000 "
131,Mohamed Sanu\SanuMo00,WR,ATL,"$6,125,000 "
132,LeSean McCoy\McCoLe01,RB,BUF,"$6,075,000 "
133,Kyle Rudolph\RudoKy00,TE,MIN,"$6,025,000 "
134,Jason Kelce\KelcJa00,OL,PHI,"$6,000,000 "
135,Dion Sims\SimsDi00,TE,CHI,"$6,000,000 "
136,Matt Ryan\RyanMa00,QB,ATL,"$6,000,000 "
137,Tyrone Crawford\CrawTy00,DE,DAL,"$6,000,000 "
138,Trumaine Johnson\JohnTr05,CB,NYJ,"$6,000,000 "
139,Rodney McLeod\McLeRo00,S,PHI,"$6,000,000 "
140,Ha Ha Clinton-Dix\ClinHa00,FS,GNB,"$5,957,000 "
141,Nate Solder\SoldNa00,T,NYG,"$5,900,000 "
142,Bryan Bulaga\BulaBr20,T,GNB,"$5,850,000 "
143,Danny Trevathan\TrevDa00,OLB,CHI,"$5,800,000 "
144,Sheldon Richardson\RichSh00,DT,MIN,"$5,800,000 "
145,Jourdan Lewis\LewiJo01,CB,DAL,"$5,800,000 "
146,Tashaun Gipson\GipsTa00,DB,JAX,"$5,750,000 "
147,Travis Benjamin\BenjTr00,WR,LAC,"$5,750,000 "
148,Dont'a Hightower\HighDo01,ILB,NWE,"$5,750,000 "
149,Mitchell Schwartz\SchwMi00,T,KAN,"$5,700,000 "
150,Donte Moncrief\MoncDo00,WR,JAX,"$5,600,000 "
151,Jake Matthews\MattJa00,OT,ATL,"$5,500,000 "
152,Joel Bitonio\BitoJo00,OT,CLE,"$5,500,000 "
153,Allen Bailey\BailAl00,DL,KAN,"$5,400,000 "
154,Rodger Saffold\SaffRo20,T,LAR,"$5,375,000 "
155,Jermaine Gresham\GresJe00,TE,ARI,"$5,250,000 "
156,Michael Brockers\BrocMi00,DT,LAR,"$5,250,000 "
157,Spencer Long\LongSp00,OG,NYJ,"$5,000,000 "
158,Lamar Miller\MillLa01,RB,HOU,"$5,000,000 "
159,Blake Bortles\BortBl00,QB,JAX,"$5,000,000 "
